scenario_id,repeat,path_shape,reference_demo,requested_speed,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,reference_curvature_abs_mean,survived,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
15,0,circle,,0.6,,random,1.0,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,11,6,0.662824642935101,False,8.94,0.07068087765277987,0.06517864018678665,0.04580574482679367,12.0,212,2.2940733432769775,1.7221983671188354,0.21878427267074585,0.7080251574516296,0.5647441148757935,0.6642663478851318,0.66455078125,1.1075846354166667,0.24183136224746704,13.056574821472168,0.3013607859611511
16,1,circle,,0.6,,random,1.0,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,11,6,0.6628246093429365,False,10.200000000000001,0.0852464451474794,0.06881850957870483,0.04729233682155609,12.0,212,2.2940733432769775,1.7221983671188354,0.3200396001338959,0.819221556186676,0.5566179752349854,0.6623791456222534,0.6576676964759827,1.0961128274599712,0.2438226342201233,11.886051177978516,0.32018691301345825
17,2,circle,,0.6,,random,1.0,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,8,4,0.6628245656135541,False,7.0600000000000005,0.14609581919646386,0.05960230901837349,0.039947833865880966,12.0,212,2.2940733432769775,1.7221983671188354,0.08514411747455597,0.48458436131477356,0.44893452525138855,0.6151367425918579,0.6042704582214355,1.0071174303690593,0.23527587950229645,19.997364044189453,0.39617279171943665
18,0,s_curve,,0.2,,random,1.0,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,6,6,0.19313906960731264,True,20.0,0.033688086677816614,0.052434977144002914,0.03249645233154297,4.0,97,2.2009809017181396,1.0706823507892056,0.5028048753738403,0.3520136773586273,0.28076720237731934,0.32517072558403015,0.31306958198547363,1.5653479099273682,0.2451961189508438,4.899220943450928,0.16933642327785492
19,1,s_curve,,0.2,,random,1.0,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,3,3,0.19313706118502336,False,8.94,0.13479293523826708,0.04761117696762085,0.027126947417855263,4.0,97,3.9030849933624268,0.1888263861285611,0.2094724178314209,0.468458890914917,0.2300255298614502,0.33173176646232605,0.3056066036224365,1.5280330181121826,0.25473886728286743,13.134759902954102,0.2638636529445648
20,2,s_curve,,0.2,,random,1.0,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,7,7,0.1931373107203231,True,20.0,0.03555832759678466,0.0551687628030777,0.033670298755168915,4.0,97,2.7795960903167725,2.2165873050689697,0.6559337377548218,0.6068111658096313,-0.06419777125120163,0.3517319858074188,0.3417830765247345,1.7089153826236725,0.24898314476013184,4.873976707458496,0.17066143453121185
21,0,s_curve,,0.4,,random,1.0,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,10,10,0.19313764558739102,True,20.0,0.047676782452424106,0.06318419426679611,0.04245984926819801,8.0,195,2.3159799575805664,0.012173414230346681,0.0984969288110733,0.18254560232162476,0.4928075075149536,0.5246787667274475,0.5148323178291321,1.2870807945728302,0.2608296871185303,5.254589080810547,0.21034099161624908
22,1,s_curve,,0.4,,random,1.0,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,10,10,0.19313906960707775,True,20.0,0.05066547710834989,0.0644562691450119,0.044332925230264664,8.0,195,2.103693723678589,1.0418435335159302,0.10840760916471481,0.20886549353599548,0.4635654389858246,0.5153180956840515,0.5053676962852478,1.2634192407131195,0.2550944983959198,5.6780476570129395,0.21576495468616486
23,2,s_curve,,0.4,,random,1.0,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,10,10,0.19313906960731264,True,20.0,0.03579024081572823,0.06427933275699615,0.04304313659667969,8.0,195,2.1097805500030518,0.43129467964172363,0.21141643822193146,0.23952558636665344,0.4996020495891571,0.5359541177749634,0.5070675015449524,1.267668753862381,0.2631947994232178,4.9025702476501465,0.20417292416095734
24,0,s_curve,,0.6,,random,1.0,0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932;0.1705;0.2932,8,8,0.19313903116315306,False,11.82,0.3370129412229474,0.06909243017435074,0.05179320275783539,10.252312660217285,249,10.003374099731445,0.16133910814394195,0.2613855302333832,0.585432231426239,0.6255670189857483,0.6884645819664001,0.696152925491333,1.1602548758188884,0.24878078699111938,12.967135429382324,0.2931443154811859
