scenario,path_shape,repeat,requested_speed_m_s,progress_start_m,progress_end_m,required_height_m,tangent_speed_mean_m_s,speed_error_mean_m_s,schedule_error_mean_m,samples,duty_factor_mean,flight_fraction,duty_factor_fl,duty_factor_fr,duty_factor_hl,duty_factor_hr,diagonal_contact_correlation,ipsilateral_contact_correlation
1,procedural,1,0.6499999761581421,2.0,2.4000000000000004,0.29319998621940613,0.7475756252253497,0.09757564906720761,-0.11366641728083475,27,0.6481481481481481,0.0,0.5925925925925926,0.5925925925925926,0.7037037037037037,0.7037037037037037,0.20481731999364233,-0.2078742949189205
1,procedural,1,0.6499999761581421,2.4000000000000004,2.8000000000000003,0.29319998621940613,0.6865855609548503,0.036585584796708204,-0.05513800089935056,29,0.6206896551724138,0.0,0.6206896551724138,0.5172413793103449,0.6896551724137931,0.6551724137931034,0.06397351705857274,-0.24547064438303176
1,procedural,1,0.6499999761581421,2.8000000000000003,3.2,0.29319998621940613,0.7502041547386734,0.10020417858053136,-0.03574105730763432,27,0.6203703703703703,0.0,0.5925925925925926,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.42550810558207686,-0.44947821373909447
1,procedural,1,0.6499999761581421,3.2,3.6,0.29319998621940613,0.5714668342045375,-0.07853314195360456,-0.02828642899649724,35,0.6214285714285714,0.0,0.5428571428571428,0.4857142857142857,0.8571428571428571,0.6,0.32742181460821534,-0.4907111805224078
1,procedural,1,0.6499999761581421,3.6,4.0,0.29319998621940613,0.6944523359599867,0.044452359801844546,-0.057421687603000225,19,0.5394736842105263,0.0,0.5789473684210527,0.5263157894736842,0.7894736842105263,0.2631578947368421,0.26843187206760816,-0.034306753409606906
2,procedural,0,0.8500000238418579,0.0,0.4,0.1704999953508377,0.5107737671779958,-0.339226256663862,-0.18186841973583928,38,0.48026315789473684,0.07894736842105263,0.5526315789473685,0.3684210526315789,0.5263157894736842,0.47368421052631576,0.5224399301207682,-0.30555029055576344
2,procedural,0,0.8500000238418579,0.4,0.8,0.18276999443769454,0.7727267285188039,-0.07727329532305399,-0.2911666733026498,30,0.48333333333333334,0.1,0.5666666666666667,0.36666666666666664,0.6,0.4,0.4577831425175437,-0.32436124800822513
2,procedural,0,0.8500000238418579,0.8,1.2000000000000002,0.29319998621940613,0.7870933722566675,-0.06290665158519039,-0.37403713927445503,27,0.5185185185185185,0.0,0.4444444444444444,0.5185185185185185,0.6296296296296297,0.48148148148148145,0.7128805251828744,-0.7773962753663186
2,procedural,0,0.8500000238418579,1.2000000000000002,1.6,0.29319998621940613,1.0263575851917266,0.17635756134986877,-0.3705002028346051,20,0.4375,0.1,0.5,0.35,0.5,0.4,0.4661953544124111,-0.4995723447576391
2,procedural,0,0.8500000238418579,1.6,2.0,0.29319998621940613,0.9767128527164459,0.126712828874588,-0.2885001543760282,20,0.6,0.0,0.6,0.5,0.6,0.7,0.4843603791228468,-0.660660168687322
2,procedural,0,0.8500000238418579,2.0,2.4000000000000004,0.29319998621940613,0.7853871512413025,-0.06461287260055543,-0.28780032920837245,25,0.57,0.04,0.36,0.6,0.8,0.52,0.48101241118656124,-0.27208710135363806
2,procedural,0,0.8500000238418579,2.4000000000000004,2.8000000000000003,0.29319998621940613,1.2063567217658548,0.3563566979239969,-0.23953005442899666,17,0.39705882352941174,0.17647058823529413,0.47058823529411764,0.29411764705882354,0.35294117647058826,0.47058823529411764,0.5828370200708963,-0.26447547673699534
2,procedural,0,0.8500000238418579,2.8000000000000003,3.2,0.29319998621940613,1.0459782282511394,0.1959782044092814,-0.12238973283767507,18,0.4444444444444444,0.05555555555555555,0.4444444444444444,0.3333333333333333,0.5,0.5,0.12389886152052632,-0.006047731322768424
2,procedural,0,0.8500000238418579,3.2,3.6,0.29319998621940613,0.6581775453583948,-0.19182247848346315,-0.11713906339118968,29,0.5948275862068966,0.0,0.5172413793103449,0.5517241379310345,0.8275862068965517,0.4827586206896552,0.16832251682123536,-0.204831196283806
2,procedural,0,0.8500000238418579,3.6,4.0,0.29319998621940613,0.7568034038824194,-0.09319661995943855,-0.2028244718102816,17,0.5441176470588235,0.0,0.5882352941176471,0.5882352941176471,0.47058823529411764,0.5294117647058824,0.598650930432699,-0.5986509304326992
3,procedural,1,0.8500000238418579,0.0,0.4,0.1704999953508377,0.3852519080813589,-0.464748115760499,-0.35277586906788644,58,0.5517241379310345,0.034482758620689655,0.6206896551724138,0.46551724137931033,0.7068965517241379,0.41379310344827586,0.30041459466515924,-0.13276006816804858
3,procedural,1,0.8500000238418579,0.4,0.8,0.18465768660490328,0.7835052815767435,-0.06649474226511441,-0.5831153772519178,26,0.4519230769230769,0.038461538461538464,0.4230769230769231,0.34615384615384615,0.5,0.5384615384615384,0.6821346743735968,-0.6621916867748187
3,procedural,1,0.8500000238418579,0.8,1.2000000000000002,0.29319998621940613,0.8036676907539367,-0.046332333087921146,-0.6320000209808336,25,0.44,0.04,0.16,0.6,0.6,0.4,0.4612102069854041,-0.43392790857909097
3,procedural,1,0.8500000238418579,1.2000000000000002,1.6,0.29319998621940613,0.9459661075047084,0.09596608366285052,-0.6096668907347171,21,0.5357142857142857,0.0,0.6190476190476191,0.42857142857142855,0.5238095238095238,0.5714285714285714,0.3786207562592498,-0.3869204731636059
3,procedural,1,0.8500000238418579,1.6,2.0,0.29319998621940613,0.8334831496079763,-0.016516874233881634,-0.582166827142237,24,0.5208333333333334,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.3333333333333333,0.4559500094764558,-0.6040442989813237
3,procedural,1,0.8500000238418579,2.0,2.4000000000000004,0.29319998621940613,0.826363076766332,-0.02363694707552592,-0.6001665755510311,24,0.53125,0.08333333333333333,0.4583333333333333,0.4166666666666667,0.625,0.625,0.510856080116189,-0.3574132174433261
3,procedural,1,0.8500000238418579,2.4000000000000004,2.8000000000000003,0.29319998621940613,1.0534520149230957,0.2034519910812378,-0.5663686658959618,19,0.4605263157894737,0.05263157894736842,0.47368421052631576,0.3157894736842105,0.47368421052631576,0.5789473684210527,0.5424441878847381,-0.5225365617702336
3,procedural,1,0.8500000238418579,2.8000000000000003,3.2,0.29319998621940613,1.0923818051815033,0.24238178133964539,-0.4890560229354403,18,0.5,0.0,0.3888888888888889,0.5555555555555556,0.7222222222222222,0.3333333333333333,0.3024623748926297,-0.529567871141689
3,procedural,1,0.8500000238418579,3.2,3.6,0.29319998621940613,1.1269165476163228,0.2769165237744649,-0.3772787471082463,18,0.5,0.0,0.4444444444444444,0.6111111111111112,0.5555555555555556,0.3888888888888889,0.5478707307954473,-0.7706168831168831
3,procedural,1,0.8500000238418579,3.6,4.0,0.29319998621940613,0.8169274595048692,-0.03307256433698866,-0.32772308844989895,18,0.5138888888888888,0.0,0.5555555555555556,0.5555555555555556,0.5,0.4444444444444444,0.286106797749979,-0.6111067977499789
4,procedural,0,1.0,0.0,0.4,0.1704999953508377,0.30472693571613896,-0.695273064283861,-0.4955555394528404,63,0.5555555555555556,0.031746031746031744,0.5714285714285714,0.38095238095238093,0.6984126984126984,0.5714285714285714,0.3624534309257445,-0.2674319006850099
4,procedural,0,1.0,0.4,0.8,0.18165453997525302,0.6443507653294187,-0.35564923467058124,-0.9727272382288268,33,0.5833333333333334,0.030303030303030304,0.6060606060606061,0.3333333333333333,0.7575757575757576,0.6363636363636364,0.4109632539223228,-0.42293904033942203
4,procedural,0,1.0,0.8,1.2000000000000002,0.29319998621940613,0.8800595782019875,-0.11994042179801247,-1.1190909526564858,22,0.5795454545454546,0.0,0.6818181818181818,0.6363636363636364,0.6363636363636364,0.36363636363636365,0.5617703183185894,-0.6599846040328752
4,procedural,0,1.0,1.2000000000000002,1.6,0.29319998621940613,1.0521824014814276,0.052182401481427644,-1.114736977376436,19,0.4342105263157895,0.05263157894736842,0.47368421052631576,0.42105263157894735,0.3684210526315789,0.47368421052631576,0.4101388596179606,-0.660056024576001
4,procedural,0,1.0,1.6,2.0,0.29319998621940613,1.0057308799342106,0.005730879934210526,-1.0989474560085095,19,0.5,0.0,0.47368421052631576,0.5789473684210527,0.3684210526315789,0.5789473684210527,0.6234410795607299,-0.6179662368365539
4,procedural,0,1.0,2.0,2.4000000000000004,0.29319998621940613,1.082552993998808,0.08255299399880801,-1.0588237538057215,17,0.5735294117647058,0.0,0.7058823529411765,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.4881599317740622,-0.6306791986139813
4,procedural,0,1.0,2.4000000000000004,2.8000000000000003,0.29319998621940613,1.0403747715448077,0.040374771544807835,-1.0273689721759998,19,0.4342105263157895,0.05263157894736842,0.42105263157894735,0.3684210526315789,0.47368421052631576,0.47368421052631576,0.3157511914692753,-0.332274883888383
4,procedural,0,1.0,2.8000000000000003,3.2,0.29319998621940613,1.0584495945980674,0.058449594598067436,-1.0010533583791632,19,0.32894736842105265,0.21052631578947367,0.2631578947368421,0.2631578947368421,0.5263157894736842,0.2631578947368421,0.10490192618549193,-0.11845003745898827
4,procedural,0,1.0,3.2,3.6,0.29319998621940613,0.893264217036111,-0.10673578296388898,-0.9933343841916039,21,0.5714285714285714,0.0,0.5714285714285714,0.38095238095238093,0.7619047619047619,0.5714285714285714,0.5248200603823129,-0.5958980323081497
4,procedural,0,1.0,3.6,4.0,0.29319998621940613,0.7131489283508725,-0.28685107164912754,-1.0633341471354167,18,0.5694444444444444,0.0,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.5,0.34860679774997894,-0.5124015556602493
5,procedural,1,1.0,0.0,0.4,0.1704999953508377,0.4341663017260785,-0.5658336982739215,-0.30530611714538264,49,0.5204081632653061,0.04081632653061224,0.46938775510204084,0.4897959183673469,0.7346938775510204,0.3877551020408163,0.2302303705982702,-0.3609230757902638
5,procedural,1,1.0,0.4,0.8,0.1853727215167248,0.6388422395243789,-0.3611577604756211,-0.6793938938415411,33,0.5,0.030303030303030304,0.5757575757575758,0.36363636363636365,0.5151515151515151,0.5454545454545454,0.713703987512009,-0.7690800029909495
