scenario_id,repeat,path_shape,reference_demo,requested_speed,requested_height,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,reference_curvature_abs_mean,survived,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,route_target_progress_m,route_final_progress_m,route_furthest_progress_m,route_completion_ratio,route_horizon_mean_speed_m_s,route_horizon_speed_ratio,route_active_mean_speed_m_s,route_active_speed_ratio,route_schedule_mae_m,route_final_schedule_error_m,route_cross_track_rmse_m,route_cross_track_p95_m,route_terminal_position_error_m,final_relative_x_m,final_relative_y_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
10,1,straight,,0.1,0.2932,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.03953713497179992,0.009767189621925354,0.009392181411385536,0.8,20,2.8765721321105957,0.8,3.6796717643737793,3.6796717643737793,4.599589705467224,0.4599589705467224,4.599589705467224,0.4599589705467224,4.599589705467224,1.2057632561609148,2.8796717643737795,0.03782747685909271,0.07307658046483993,2.8797850591941203,-3.6796717643737793,-0.025544464588165283,0.10787320137023927,0.6192622184753418,0.5674254298210144,0.45117565989494324,0.4636591374874115,0.4614836871623993,4.614836871623993,0.3025921583175659,4.083984375,0.17722760140895844
11,2,straight,,0.1,0.2932,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.015205695408013323,0.00994130875915289,0.009804044850170612,0.8,20,3.1810364723205566,0.8,3.984191656112671,3.984191656112671,4.980239570140839,0.49802395701408386,4.980239570140839,0.49802395701408386,4.980239570140839,1.3551018506723642,3.184191656112671,0.01001688651740551,0.01919725090265274,3.1842495079337354,-3.984191656112671,0.019194364547729492,0.047974173222677295,0.47159045934677124,0.5416480302810669,0.4993707239627838,0.5003581643104553,0.49950969219207764,4.995096921920776,0.30300402641296387,3.7708699703216553,0.18697257339954376
12,0,straight,,0.15,0.1705,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.03042376271186235,0.021586015820503235,0.011235001496970654,1.2,30,1.4766526222229004,1.2,2.6814208030700684,2.6814208030700684,2.2345173358917236,0.33517760038375854,2.2345173358917236,0.33517760038375854,2.2345173358917236,0.5719076797246933,1.4814208030700684,0.028341144323349,0.05328006893396377,1.481471704534779,-2.6814208030700684,0.012280583381652832,0.061228338872091365,0.35666903853416443,0.36788734793663025,0.3290688395500183,0.3564479351043701,0.3363206386566162,2.2421375910441084,0.16680099070072174,5.234879493713379,0.19299516081809998
13,1,straight,,0.15,0.1705,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.02372481923552118,0.020390501245856285,0.009930597618222237,1.2,30,1.2151408195495605,1.2,2.419768810272217,2.419768810272217,2.0164740085601807,0.3024711012840271,2.0164740085601807,0.3024711012840271,2.0164740085601807,0.4353618598490953,1.2197688102722168,0.020940985530614853,0.03852653671056031,1.2199592125669876,-2.419768810272217,-0.021553069353103638,0.16268474260439117,0.4009150266647339,0.42848873138427734,0.2765665054321289,0.3183172345161438,0.30354970693588257,2.023664712905884,0.16717299818992615,5.118587493896484,0.1743185818195343
14,2,straight,,0.15,0.1705,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.02059038997924662,0.022314518690109253,0.011402875185012817,1.2,30,1.2937623262405396,1.2,2.4985811710357666,2.4985811710357666,2.082150975863139,0.3123226463794708,2.082150975863139,0.3123226463794708,2.082150975863139,0.4982890928769111,1.2985811710357666,0.017474239692091942,0.03414276689291,1.298581525700097,-2.4985811710357666,0.0009596347808837891,0.12471389770507812,0.31015676259994507,0.39812958240509033,0.24787971377372742,0.32771986722946167,0.31322136521339417,2.0881424347559614,0.1671459972858429,5.62251615524292,0.18360956013202667
15,0,straight,,0.15,0.2932,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.03004504401028111,0.009714065119624138,0.009468579664826393,1.2,30,2.79917049407959,1.2,4.003937721252441,4.003937721252441,3.336614767710368,0.5004922151565552,3.336614767710368,0.5004922151565552,3.336614767710368,1.131197722826898,2.8039377212524412,0.027749639004468918,0.04514336287975311,2.8039894849076483,-4.003937721252441,0.017037689685821533,0.11691219011415678,0.5586509704589844,0.5527592897415161,0.4974612891674042,0.5036827921867371,0.5019906163215637,3.346604108810425,0.30266857147216797,4.036806106567383,0.20416659116744995
16,1,straight,,0.15,0.2932,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.028227894343167255,0.009882883168756962,0.009673545137047768,1.2,30,2.743684768676758,1.2,3.9485039710998535,3.9485039710998535,3.290419975916545,0.4935629963874817,3.290419975916545,0.4935629963874817,3.290419975916545,1.1397177926570174,2.7485039710998533,0.02574731595814228,0.04789804462343454,2.748504048478787,-3.9485039710998535,0.0006520748138427734,0.027736250554220267,0.5557584762573242,0.5768794417381287,0.4914569854736328,0.496064156293869,0.4948836863040924,3.299224575360616,0.30287352204322815,3.9314301013946533,0.1933944821357727
17,2,straight,,0.15,0.2932,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.020525576668981232,0.009786771610379219,0.00960051454603672,1.2,30,2.9530081748962402,1.2,4.157796382904053,4.157796382904053,3.464830319086711,0.5197245478630066,3.464830319086711,0.5197245478630066,3.464830319086711,1.2087713439702987,2.9577963829040526,0.017038818448781967,0.029087245464324948,2.9578273629221954,-4.157796382904053,0.013537466526031494,0.07139784494508941,0.6071778535842896,0.5798998475074768,0.5206811428070068,0.5222559571266174,0.5213615298271179,3.475743532180786,0.3028005063533783,3.8735477924346924,0.18944533169269562
18,0,straight,,0.2,0.1705,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.022119838704339236,0.021153301000595093,0.010264811106026173,1.6,40,1.3353064060211182,1.6,2.9417195320129395,2.9417195320129395,1.8385747075080872,0.36771494150161743,1.8385747075080872,0.36771494150161743,1.8385747075080872,0.5198910993635654,1.3417195320129394,0.019102809950709343,0.034525842964649195,1.3417321508596138,-2.9417195320129395,-0.005819261074066162,0.016138792037963867,0.4470042884349823,0.445804238319397,0.31824198365211487,0.37382134795188904,0.3689265549182892,1.844632774591446,0.16751331090927124,5.691504955291748,0.19639109075069427
19,1,straight,,0.2,0.1705,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.026019940713535722,0.022145064547657967,0.013253421522676945,1.6,40,1.8792253732681274,1.6,3.4855122566223145,3.4855122566223145,2.1784451603889465,0.4356890320777893,2.1784451603889465,0.4356890320777893,2.1784451603889465,0.7969795746502281,1.8855122566223144,0.02348025143146515,0.039298324286937664,1.885650680582295,-3.4855122566223145,0.02284759283065796,0.04964119592775542,0.4855838716030121,0.4916170537471771,0.4323045611381531,0.4478408098220825,0.437092125415802,2.18546062707901,0.16450907289981842,5.26176118850708,0.20443974435329437
20,2,straight,,0.2,0.1705,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.0250092133877073,0.02235337719321251,0.012128837406635284,1.6,40,1.4964838027954102,1.6,3.1027162075042725,3.1027162075042725,1.9391976296901703,0.38783952593803406,1.9391976296901703,0.38783952593803406,1.9391976296901703,0.5395134078696369,1.5027162075042724,0.02257656119763851,0.046109108626842435,1.5029087605224525,-3.1027162075042725,-0.024057209491729736,0.26261645952333645,0.5000497698783875,0.49562767148017883,0.36654844880104065,0.406158983707428,0.389003187417984,1.94501593708992,0.16721174120903015,5.722962379455566,0.19442671537399292
21,0,straight,,0.2,0.2932,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.016790576310770272,0.01009509526193142,0.009814966470003128,1.6,40,3.2770655155181885,1.6,4.883444309234619,4.883444309234619,3.052152693271637,0.6104305386543274,3.052152693271637,0.6104305386543274,3.052152693271637,1.3379752695411442,3.283444309234619,0.012231853790581226,0.019462101161479946,3.2834910773355053,-4.883444309234619,0.017524778842926025,0.07001358667482574,0.7041417360305786,0.7027814984321594,0.6106101870536804,0.6126214861869812,0.6122750639915466,3.061375319957733,0.3029702305793762,4.048671245574951,0.180352121591568
22,1,straight,,0.2,0.2932,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.01811464874773027,0.01003195159137249,0.009805090725421906,1.6,40,3.3342039585113525,1.6,4.940629482269287,4.940629482269287,3.0878934264183044,0.6175786852836609,3.0878934264183044,0.6175786852836609,3.0878934264183044,1.388128977456689,3.340629482269287,0.014039456844329834,0.025220312178134915,3.3406298028044716,-4.940629482269287,-0.001463562250137329,0.07277321815490723,0.7306731343269348,0.6953793168067932,0.617709755897522,0.619682788848877,0.6194223761558533,3.0971118807792664,0.30300506949424744,4.0948381423950195,0.18654702603816986
23,2,straight,,0.2,0.2932,,constant,nan,,0,0,2.143417663003602e-06,True,8.0,0.027382926015230943,0.009861813858151436,0.009551072493195534,1.6,40,3.165773630142212,1.6,4.772177219390869,4.772177219390869,2.982610762119293,0.5965221524238586,2.982610762119293,0.5965221524238586,2.982610762119293,1.3120226817682386,3.172177219390869,0.0248386412858963,0.05841627120971679,3.172199423519483,-4.772177219390869,-0.011869072914123535,0.07553291320800781,0.7224568128585815,0.6893165111541748,0.5903089046478271,0.5990829467773438,0.5982345342636108,2.991172671318054,0.3027510344982147,4.178421497344971,0.2006828337907791
