scenario_id,repeat,path_shape,reference_demo,requested_speed,reference_curvature_abs_mean,survived,time_to_failure_s,xy_rmse,height_rmse,target_progress_m,target_path_index,terminal_position_error_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
10,1,straight,,0.8,2.3651510939357154e-06,True,20.0,0.06241891648535992,0.008094390854239464,9.999994277954102,249,0.08549315482378006,0.033128801976339405,0.007286145817488432,0.007212052121758461,0.4993577301502228,0.5098506212234497,0.6241971626877785,0.3004714846611023,3.958440065383911,0.2204263061285019
11,2,straight,,0.8,2.217327442782451e-06,False,4.62,0.26372854083758707,0.020567264407873154,9.999994277954102,249,10.0,0.0,0.2033856064081192,0.9228307604789734,0.8671669363975525,0.8716847896575928,1.0839586704969406,0.29635336995124817,8.71164608001709,0.34136083722114563
12,0,straight,,1.0,2.06950627795577e-06,False,2.24,0.18871135198881697,0.06653409451246262,9.999994277954102,249,10.0,0.0,0.3889569938182831,0.5872330069541931,0.4267442524433136,0.6557869911193848,0.4267442524433136,0.2570066750049591,32.080223083496094,0.8442001342773438
13,1,straight,,1.0,2.3651488727811154e-06,False,3.2,0.21420317327179564,0.03314905986189842,9.999994277954102,249,10.0,0.0,0.3317822217941284,0.723426103591919,0.7284319996833801,0.8055028915405273,0.7284319996833801,0.28538453578948975,11.499273300170898,0.45168963074684143
14,2,straight,,1.0,2.3651488727811154e-06,False,5.44,0.32736807892169517,0.017473503947257996,9.999994277954102,249,10.0,0.0,0.30524152517318726,1.1410038471221924,0.9863554835319519,0.993533194065094,0.9863554835319519,0.2990231215953827,7.4707183837890625,0.3569825291633606
15,0,s_curve,,0.2,0.1931390971380728,True,20.0,0.10958762907009681,0.007169518154114485,4.0,97,0.34773385524749756,0.7265134493457241,0.041942860931158066,0.03969002887606621,0.17831458151340485,0.20185714960098267,0.8915729075670242,0.29890668392181396,4.087184429168701,0.12148874998092651
16,1,s_curve,,0.2,0.19314035433051527,True,20.0,0.08001819291147658,0.007261806633323431,4.0,97,0.17894108593463898,0.8300932089435025,0.17115278542041779,0.09252443164587021,0.20004189014434814,0.2174365520477295,1.0002094507217407,0.29902392625808716,4.226318359375,0.12257983535528183
17,2,s_curve,,0.2,0.19313932731160513,True,20.0,0.08447824332905476,0.007313898764550686,4.0,97,0.2744938135147095,1.0850108305560513,0.11467006057500839,0.08024180680513382,0.20455165207386017,0.21902765333652496,1.0227582603693008,0.2986389100551605,4.313594818115234,0.1278938502073288
18,0,s_curve,,0.4,0.1931373189047612,True,20.0,0.029831206361810008,0.00775532703846693,8.0,195,2.3003950119018555,0.07618069648742676,0.008642153814435005,0.010232857428491116,0.5128400921821594,0.5213493704795837,1.2821002304553986,0.3002806305885315,4.282269477844238,0.19087989628314972
19,1,s_curve,,0.4,0.19313756844271202,True,20.0,0.022760152724914495,0.007969179190695286,8.0,195,2.2341713905334473,0.11933708190917969,0.020827045664191246,0.02302555739879608,0.5111236572265625,0.5194042921066284,1.2778091430664062,0.3007788062095642,4.173100471496582,0.18831652402877808
20,2,s_curve,,0.4,0.19313790330899977,True,20.0,0.01893029171054912,0.008101089857518673,8.0,195,2.231826066970825,0.08928942680358887,0.00402846047654748,0.00783103983849287,0.5100390911102295,0.5170971155166626,1.2750977277755737,0.3008691668510437,4.230868816375732,0.18833686411380768
21,0,s_curve,,0.6,0.19313932731054298,True,20.0,0.03874626961096309,0.0077785104513168335,10.252307891845703,249,0.04991549625992775,0.06265902519226074,0.03002612665295601,0.02762824296951294,0.5005568861961365,0.5246391892433167,0.8342614769935608,0.2999516725540161,4.4592108726501465,0.21219953894615173
22,1,s_curve,,0.6,0.19313932731160513,True,20.0,0.08220688766843803,0.008351381868124008,10.252307891845703,249,0.2569769322872162,0.9240672588348389,0.13840769231319427,0.19784055650234222,0.3931221663951874,0.523645281791687,0.6552036106586456,0.2976539433002472,5.967298984527588,0.25582602620124817
23,2,s_curve,,0.6,0.1931386481902649,True,20.0,0.03930743823495155,0.007882310077548027,10.252306938171387,249,0.08117049932479858,0.029253244400024414,0.006226191762834787,0.00885624811053276,0.5040822625160217,0.5258934497833252,0.8401371041933696,0.3001587688922882,4.467017650604248,0.2097223848104477
24,0,s_curve,,0.8,0.19314037227946199,False,2.7,0.14714315155327,0.04297560453414917,10.25230884552002,249,10.003374099731445,0.16133910814394195,0.17587429285049438,0.5283108353614807,0.20037764310836792,0.5168015360832214,0.2504720538854599,0.28305763006210327,21.93357276916504,0.5339244604110718
25,1,s_curve,,0.8,0.19313934524882292,False,1.92,0.15447596997200044,0.026719555258750916,10.25230598449707,249,10.003374099731445,0.16133910814394195,0.25166645646095276,0.8536784648895264,0.6573829650878906,0.7230496406555176,0.8217287063598633,0.2876146733760834,11.218774795532227,0.41634035110473633
