scenario_id,repeat,path_shape,reference_demo,requested_speed,transition_fraction,height_profile,height_segment_m,target_height_changes,target_height_changes_before_failure,reference_curvature_abs_mean,survived,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
11,2,circle,,0.2,,interleaved,1.0,8,8,0.6628245658050873,True,20.0,0.04033452568660478,0.05155862867832184,0.04185422509908676,4.0,71,2.9010307788848877,3.1057073175907135,0.5950668454170227,0.6626011729240417,0.368743896484375,0.41642332077026367,0.4084901213645935,2.0424506068229675,0.24380117654800415,5.540047645568848,0.19447118043899536
12,0,circle,,0.4,,interleaved,1.0,11,7,0.6628238344772175,False,12.700000000000001,0.040752073776923005,0.05441044270992279,0.04540249705314636,8.0,141,1.367027759552002,0.9651880900012417,0.20221833884716034,0.42693766951560974,0.3645481467247009,0.5093085765838623,0.500978410243988,1.25244602560997,0.2262839525938034,11.75975227355957,0.24787774682044983
13,1,circle,,0.4,,interleaved,1.0,12,12,0.6628245672152905,True,20.0,0.06129950064372128,0.052715301513671875,0.0448090136051178,8.0,141,2.712261438369751,1.0042568445205688,0.4859718978404999,0.5481924414634705,-0.119974285364151,0.5785586833953857,0.56934654712677,1.423366367816925,0.21437972784042358,6.620544910430908,0.24534422159194946
14,2,circle,,0.4,,interleaved,1.0,11,7,0.6628244932484765,False,12.42,0.04903659840164264,0.061929043382406235,0.05086002126336098,8.0,141,1.3670278787612915,0.9651880900012417,0.19041922688484192,0.5177528858184814,0.3543854057788849,0.505316436290741,0.5007879137992859,1.2519697844982147,0.22861096262931824,10.746678352355957,0.25419744849205017
15,0,circle,,0.6,,interleaved,1.0,11,6,0.662824642935101,False,9.0,0.10811478978828201,0.0516960583627224,0.042771756649017334,12.0,212,2.2940733432769775,1.7221983671188354,0.2923039197921753,0.6678979992866516,0.1276935189962387,0.6693246960639954,0.6628566980361938,1.1047611633936565,0.21551845967769623,14.661540031433105,0.33715760707855225
16,1,circle,,0.6,,interleaved,1.0,11,5,0.6628246093429365,False,9.040000000000001,0.08769675010638026,0.05635702982544899,0.049900949001312256,12.0,212,2.2940733432769775,1.7221983671188354,0.23546572029590607,0.327737420797348,0.37071511149406433,0.640593409538269,0.6032645106315613,1.0054408510526023,0.22360111773014069,10.045928001403809,0.29051077365875244
17,2,circle,,0.6,,interleaved,1.0,11,6,0.6628245656135541,False,8.82,0.047497557022938855,0.05964279919862747,0.05037359893321991,12.0,212,2.2940733432769775,1.7221983671188354,0.2935340702533722,0.40408098697662354,0.5113490223884583,0.6766762733459473,0.6766541004180908,1.1277568340301514,0.22456254065036774,13.975549697875977,0.33614006638526917
18,0,s_curve,,0.2,,interleaved,1.0,6,6,0.19313906960731264,True,20.0,0.05220837377092742,0.05632084608078003,0.04787027835845947,4.0,97,1.8289945125579834,1.754486083984375,0.34693148732185364,0.2860907316207886,0.04364468529820442,0.309018611907959,0.2943898141384125,1.4719490706920624,0.21212582290172577,5.502687931060791,0.1685332953929901
19,1,s_curve,,0.2,,interleaved,1.0,7,7,0.19313706118502336,True,20.0,0.030484194123522792,0.05113419517874718,0.041363175958395004,4.0,97,2.9666202068328857,0.9073004722595215,0.2873781621456146,0.15704084932804108,0.33021509647369385,0.35614264011383057,0.35186049342155457,1.7593024671077728,0.23269808292388916,4.680859565734863,0.16380158066749573
20,2,s_curve,,0.2,,interleaved,1.0,8,8,0.1931373107203231,True,20.0,0.028046431763733077,0.05797344818711281,0.048656150698661804,4.0,97,3.9197700023651123,0.448878113423483,0.6608381867408752,0.5924598574638367,0.38749396800994873,0.4026554524898529,0.3987927734851837,1.9939638674259186,0.24089105427265167,4.676117420196533,0.1684533953666687
