scenario_id,repeat,path_shape,reference_demo,requested_speed,transition_fraction,reference_curvature_abs_mean,survived,time_to_failure_s,xy_rmse,height_rmse,target_progress_m,target_path_index,terminal_position_error_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
32,2,straight,,0.8,0.5,2.365148872541673e-06,False,2.96,0.24686964175182113,0.12212195247411728,10.000019073486328,249,10.0,0.0,0.21319341659545898,1.1425080299377441,1.0167826414108276,1.0206236839294434,1.0078222751617432,1.259777843952179,0.2910304665565491,8.090372085571289,0.34646037220954895
33,0,straight,,0.8,0.75,2.365148872541673e-06,False,3.24,0.25398130101820543,0.12420076131820679,10.000019073486328,249,10.0,0.0,0.18487083911895752,1.0890684127807617,0.9988660216331482,1.0067511796951294,0.996475338935852,1.245594173669815,0.2934921383857727,8.416579246520996,0.3276750147342682
34,1,straight,,0.8,0.75,2.3651488727811154e-06,True,20.0,0.0287293987889867,0.06941764801740646,10.000019073486328,249,0.035044800490140915,0.09434771537780762,0.02178497239947319,0.015540605410933495,0.5009326934814453,0.5153613686561584,0.5021246671676636,0.6276558339595795,0.1975732147693634,3.734330177307129,0.20351164042949677
35,2,straight,,0.8,0.75,2.3651488727811154e-06,False,4.3,0.3088948487127369,0.12449450045824051,10.000019073486328,249,10.0,0.0,0.17730313539505005,1.1187617778778076,1.0509611368179321,1.059962272644043,1.049669861793518,1.3120873272418976,0.2938668429851532,7.597601413726807,0.32515749335289
36,0,straight,,1.0,0.25,2.36515062776461e-06,False,2.06,0.2619291297811736,0.09380374848842621,10.000019073486328,249,10.0,0.0,0.25916922092437744,1.2658467292785645,1.0809091329574585,1.0934208631515503,1.0771656036376953,1.0771656036376953,0.2438468635082245,7.484555244445801,0.3572028577327728
37,1,straight,,1.0,0.25,2.143418362592342e-06,False,2.2,0.2914461886138074,0.09591460227966309,10.000019073486328,249,10.0,0.0,0.2014382928609848,0.9451626539230347,0.9341533184051514,0.9641455411911011,0.9356225728988647,0.9356225728988647,0.2433317005634308,9.122511863708496,0.376648873090744
38,2,straight,,1.0,0.25,2.36515062776461e-06,False,1.94,0.2380217984745437,0.10018214583396912,10.000019073486328,249,10.0,0.0,0.24434641003608704,1.3567484617233276,1.077799916267395,1.0854415893554688,1.0662500858306885,1.0662500858306885,0.2542952299118042,6.887341499328613,0.33752140402793884
39,0,straight,,1.0,0.5,2.3651488727811154e-06,False,1.56,0.17315366785218686,0.11561626940965652,10.000019073486328,249,10.0,0.0,0.32789120078086853,1.2348427772521973,0.9256390333175659,0.951991617679596,0.9270198345184326,0.9270198345184326,0.2845178544521332,10.717304229736328,0.3886009752750397
40,1,straight,,1.0,0.5,2.3651488727811154e-06,False,2.0,0.2230136946156491,0.1184668093919754,10.000019073486328,249,10.0,0.0,0.14078156650066376,1.3535865545272827,1.1256364583969116,1.1289558410644531,1.114141821861267,1.114141821861267,0.287197083234787,8.930669784545898,0.4005061388015747
41,2,straight,,1.0,0.5,2.365148872541673e-06,False,1.78,0.18383215727686966,0.11775617301464081,10.000019073486328,249,10.0,0.0,0.1283320188522339,1.2648371458053589,0.9881777167320251,1.000697135925293,0.9855195879936218,0.9855195879936218,0.28645288944244385,11.1580228805542,0.37364107370376587
42,0,straight,,1.0,0.75,2.365148872541673e-06,False,1.3800000000000001,0.15159818850798135,0.12236451357603073,10.000019073486328,249,10.0,0.0,0.23930253088474274,1.174293041229248,0.9286686778068542,0.9396647810935974,0.9118367433547974,0.9118367433547974,0.29111212491989136,10.378360748291016,0.35237419605255127
43,1,straight,,1.0,0.75,2.365148872541673e-06,False,2.48,0.24744553737127528,0.11663276702165604,10.000019073486328,249,10.0,0.0,0.32680487632751465,1.3287925720214844,1.0836158990859985,1.0957494974136353,1.0775381326675415,1.0775381326675415,0.2855527102947235,8.276015281677246,0.3792307674884796
44,2,straight,,1.0,0.75,0.0,False,1.06,0.09896396819774883,0.09333574771881104,10.000019073486328,249,10.0,0.0,0.13805556297302246,0.720237135887146,0.647056519985199,0.6837363839149475,0.6594706773757935,0.6594706773757935,0.2546885311603546,21.944656372070312,0.47821542620658875
45,0,circle,,0.2,0.25,0.662826014358205,True,20.0,0.02289679514795118,0.07615698128938675,4.0,71,2.7718682289123535,0.8909909725189209,0.4451744258403778,0.44511523842811584,0.2206125557422638,0.500084638595581,0.4979565441608429,2.4897827208042145,0.20955629646778107,6.121241569519043,0.20388783514499664
46,1,circle,,0.2,0.25,0.6628245519435052,True,20.0,0.024195021270617064,0.07508371025323868,4.0,71,2.7706170082092285,0.8999295234680176,0.4291721284389496,0.4389224648475647,0.22512505948543549,0.49937498569488525,0.4972406029701233,2.4862030148506165,0.2084435075521469,6.140968322753906,0.20442768931388855
47,2,circle,,0.2,0.25,0.6628230986120863,True,20.0,0.05470822750357582,0.08409418165683746,4.0,71,2.933507204055786,1.0487068593502045,0.34184855222702026,0.4971095323562622,0.17866814136505127,0.4420666992664337,0.41569778323173523,2.078488916158676,0.22228197753429413,6.309194564819336,0.2068844884634018
48,0,circle,,0.2,0.5,0.6628230986120863,True,20.0,0.021983227532827714,0.10549352318048477,4.0,71,2.640294075012207,2.972535286341803,0.38939669728279114,0.4892849028110504,0.49487602710723877,0.5155522227287292,0.5145857930183411,2.5729289650917053,0.25335371494293213,5.138458251953125,0.18687397241592407
49,1,circle,,0.2,0.5,0.6628238372621138,True,20.0,0.031862836339518,0.1056617945432663,4.0,71,2.7261509895324707,2.8871952633010314,0.5413624048233032,0.47395163774490356,0.4654849171638489,0.502703070640564,0.499235600233078,2.49617800116539,0.2550034523010254,5.2723236083984375,0.18768295645713806
50,2,circle,,0.2,0.5,0.6628245736732312,True,20.0,0.027211839353223043,0.10709831863641739,4.0,71,2.6681132316589355,2.9655734638320372,0.5019304156303406,0.5149275064468384,0.4871702790260315,0.510500431060791,0.5082525014877319,2.5412625074386597,0.25663989782333374,5.138337135314941,0.18854960799217224
51,0,circle,,0.2,0.75,0.6628245712578106,True,20.0,0.02356239849660881,0.12721365690231323,4.0,71,2.1929101943969727,0.7910574376583099,0.28607749938964844,0.2742180824279785,0.5404804944992065,0.5519136786460876,0.550644040107727,2.7532202005386353,0.29442259669303894,4.395898342132568,0.17540030181407928
52,1,circle,,0.2,0.75,0.6628244965750621,True,20.0,0.030195056703709647,0.1287558376789093,4.0,71,2.7575762271881104,2.1045170724391937,0.5249080657958984,0.5943721532821655,0.4750120937824249,0.5054606795310974,0.4983729422092438,2.491864711046219,0.29909953474998474,4.993436336517334,0.18124011158943176
53,2,circle,,0.2,0.75,0.6628245094984213,False,10.14,0.10188347860342424,0.1239670068025589,4.0,71,2.9229681491851807,2.668461173772812,0.320687860250473,0.4294130206108093,0.14163285493850708,0.2432888299226761,0.23294825851917267,1.1647412925958633,0.29246699810028076,13.657642364501953,0.15712237358093262
54,0,circle,,0.4,0.25,0.6628245713384737,True,20.0,0.0278229601435317,0.06503719091415405,8.0,141,2.9980032444000244,0.28226661682128906,0.6712081432342529,0.6374395489692688,0.12379778921604156,0.617440402507782,0.6159664988517761,1.5399162471294403,0.19653838872909546,6.982488632202148,0.25274378061294556
55,1,circle,,0.4,0.25,0.6628245736732312,True,20.0,0.0470918537119333,0.059672657400369644,8.0,141,3.010343313217163,1.2628652453422546,0.5690912008285522,0.5980398654937744,-0.11793392896652222,0.6506353616714478,0.6463301777839661,1.6158254444599152,0.18978677690029144,7.234195232391357,0.2590196132659912
56,2,circle,,0.4,0.25,0.6628238361134979,True,20.0,0.03413506892644496,0.05878111720085144,8.0,141,3.02496337890625,1.0982962846755981,0.714397668838501,0.6349368691444397,-0.04358323663473129,0.6565260887145996,0.6550226807594299,1.6375567018985748,0.18882130086421967,7.185891628265381,0.2580512762069702
57,0,circle,,0.4,0.5,0.6628230986120863,True,20.0,0.06285007270754552,0.08652225136756897,8.0,141,2.999345541000366,0.13167595863342285,0.5856615304946899,0.6006457805633545,0.1427919715642929,0.6610645055770874,0.6300913095474243,1.5752282738685608,0.22519555687904358,7.196949005126953,0.26781216263771057
58,1,circle,,0.4,0.5,0.6628230986120863,False,8.4,0.11629149458593332,0.11730126291513443,8.0,141,1.367027997970581,0.9651880900012417,0.2560877501964569,0.44193896651268005,0.34112611413002014,0.5887675881385803,0.5699558854103088,1.424889713525772,0.28355923295021057,15.394917488098145,0.33464333415031433
59,2,circle,,0.4,0.5,0.6628245601950795,True,20.0,0.04310703451404477,0.08400534838438034,8.0,141,2.8260560035705566,0.7777106761932373,0.4996872544288635,0.5826324820518494,0.20695120096206665,0.7029216289520264,0.6999573707580566,1.7498934268951416,0.21882250905036926,6.909707546234131,0.25773051381111145
60,0,circle,,0.4,0.75,0.6628260213109706,True,20.0,0.04216531743297531,0.10237257182598114,8.0,141,2.654299736022949,1.401972834263937,0.026204898953437805,0.12175751477479935,0.5177482962608337,0.7235444188117981,0.7211103439331055,1.8027758598327637,0.24942106008529663,6.664131164550781,0.2549852430820465
61,1,circle,,0.4,0.75,0.6628245588888887,False,10.040000000000001,0.05773073387088059,0.12094686180353165,8.0,141,1.367027997970581,0.9651880900012417,0.19170334935188293,0.4646536111831665,0.54046630859375,0.6612945795059204,0.6497334837913513,1.6243337094783783,0.2861044108867645,14.782303810119629,0.34863707423210144
62,2,circle,,0.4,0.75,0.6628231055813236,False,6.8,0.1140018715002075,0.11914575099945068,8.0,141,1.367027997970581,0.9651880900012417,0.07843344658613205,0.6475808024406433,0.6367402076721191,0.6764796376228333,0.6766610741615295,1.6916526854038239,0.28766101598739624,10.76372241973877,0.3042183220386505
63,0,circle,,0.6,0.25,0.6628231055813236,False,3.58,0.20619882653270452,0.11297685652971268,12.0,212,2.2940731048583984,1.7221983671188354,0.32047656178474426,0.5961442589759827,0.6176145076751709,0.7865013480186462,0.7853915095329285,1.3089858492215476,0.27177032828330994,22.633169174194336,0.4631364643573761
64,1,circle,,0.6,0.25,0.662823844218952,False,3.2,0.19369251624746478,0.11833436042070389,12.0,212,2.2940731048583984,1.7221983671188354,0.29243260622024536,0.844878077507019,0.6894515752792358,0.8375250101089478,0.8277778625488281,1.3796297709147136,0.2824549078941345,21.228759765625,0.4173020124435425
