family,evaluation,timestamp,policy_kind,checkpoint,checkpoint_sha256,git_commit,dataset_sha256,task,seed,duration_s,num_scenarios,num_inference_steps,exec_horizon,survival_rate,missing_provenance,source_file
baseline_diffuseloco,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k8_h4,2026-07-14T14:24:59,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,03359d00e57318363676cdfbf651fc8cbc1b78eb,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,8.0,15,8,4,0.9333333333333333,,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k8_h4\summary.json
baseline_diffuseloco,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k8_h6,2026-07-14T14:26:03,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,03359d00e57318363676cdfbf651fc8cbc1b78eb,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,8.0,15,8,6,1.0,,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k8_h6\summary.json
baseline_diffuseloco,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k8_h8,2026-07-14T14:27:06,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,03359d00e57318363676cdfbf651fc8cbc1b78eb,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,8.0,15,8,8,0.9333333333333333,,scripts\baseline_diffuseloco\evaluations\runtime_sweep_k10_k5\k8_h8\summary.json
baseline_diffuseloco,scripts\baseline_diffuseloco\evaluations\walk_crouch_epoch25_k10_exec1,2026-07-14T13:05:55,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,d48f69f2242aa04c3369fbee032dffe5056bfcce,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,8.0,45,10,1,0.8888888888888888,,scripts\baseline_diffuseloco\evaluations\walk_crouch_epoch25_k10_exec1\summary.json
baseline_diffuseloco,scripts\baseline_diffuseloco\evaluations\walk_crouch_epoch25_k10_exec8_ts,2026-07-14T13:31:40,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,1f29cb137ec5640c5b97c9dd1e3130865985e61b,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,8.0,45,10,8,1.0,,scripts\baseline_diffuseloco\evaluations\walk_crouch_epoch25_k10_exec8_ts\summary.json
baseline_diffuseloco,scripts\baseline_diffuseloco\evaluations\walk_crouch_epoch25_k4_h4_ts,2026-07-14T19:25:32,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,03359d00e57318363676cdfbf651fc8cbc1b78eb,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,8.0,45,4,4,0.9777777777777777,,scripts\baseline_diffuseloco\evaluations\walk_crouch_epoch25_k4_h4_ts\summary.json
baseline_diffuseloco,scripts\baseline_diffuseloco\evaluations\walk_crouch_epoch25_k4_h6_ts,2026-07-14T19:28:20,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,03359d00e57318363676cdfbf651fc8cbc1b78eb,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,8.0,45,4,6,0.9777777777777777,,scripts\baseline_diffuseloco\evaluations\walk_crouch_epoch25_k4_h6_ts\summary.json
baseline_locodiff,scripts\baseline_locodiff\evaluations\20260716_152307,2026-07-16T15:23:31,locodiff_edm_transformer,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\checkpoints_iri\best_locodiff_1.pt,DCB448B4CD2E740030603E0B7EC969AD39BEECBC49FB0D2EF6DE23ED3F799E4B,a77ae451b5d4c0e5984ec2a79cbf5906147b8a3c,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,2.0,1,3,1,1.0,,scripts\baseline_locodiff\evaluations\20260716_152307\summary.json
baseline_locodiff,scripts\baseline_locodiff\evaluations\_runtime_smoke\k5_h4,2026-07-14T13:58:38,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,1f29cb137ec5640c5b97c9dd1e3130865985e61b,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,2.0,15,5,4,1.0,,scripts\baseline_locodiff\evaluations\_runtime_smoke\k5_h4\summary.json
baseline_locodiff,scripts\baseline_locodiff\evaluations\_smoke,2026-07-14T12:39:18,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,7c5920209820d893e37702f2eb18a8ccaec26913,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,1.0,1,10,1,1.0,,scripts\baseline_locodiff\evaluations\_smoke\summary.json
baseline_locodiff,scripts\baseline_locodiff\evaluations\_smoke_realtime,2026-07-14T12:57:25,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,9ee1bad5e798f0475135134dd9939f8ddd5fe072,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,2.0,1,10,8,1.0,,scripts\baseline_locodiff\evaluations\_smoke_realtime\summary.json
baseline_locodiff,scripts\baseline_locodiff\evaluations\runtime_sweep_k10_k5\k10_h1,2026-07-14T14:16:15,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,03359d00e57318363676cdfbf651fc8cbc1b78eb,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,8.0,15,10,1,0.8666666666666667,,scripts\baseline_locodiff\evaluations\runtime_sweep_k10_k5\k10_h1\summary.json
baseline_locodiff,scripts\baseline_locodiff\evaluations\runtime_sweep_k10_k5\k10_h2,2026-07-14T14:17:34,diffuseloco_velocity_height_ddpm,C:\Users\11ser\OneDrive\Escritorio\Coding\Projectes\Isaac\isaaclab-solo\scripts\baseline_diffuseloco\runs\walk_crouch_posture_conditioned\best.pt,6B76D014C46E527182579DF1596625629A5063BC8F249CF6994699F9DE016471,03359d00e57318363676cdfbf651fc8cbc1b78eb,walk_crouch_v3.hdf5:5E356993BB2ECF6848B1300F92EB85B52EFE8DEB430D60F41E1D19C3B0DCE35C,solo12-v0,42,8.0,15,10,2,0.8,,scripts\baseline_locodiff\evaluations\runtime_sweep_k10_k5\k10_h2\summary.json
