scenario_id,repeat,path_shape,reference_demo,requested_speed,transition_fraction,height_profile,height_segment_m,height_schedule,target_height_changes,target_height_changes_before_failure,reference_curvature_abs_mean,survived,time_to_failure_s,xy_rmse,height_rmse,height_abs_error_mean,target_progress_m,target_path_index,terminal_position_error_m,terminal_yaw_error_rad,final_planar_speed_m_s,last_1s_planar_speed_mean_m_s,achieved_speed_mean,achieved_planar_speed_mean,achieved_tangent_speed_mean,achieved_speed_ratio,achieved_height_mean,tilt_rms_deg,action_delta_rms
33,0,right_angle,,0.6,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932,6,6,0.6934090001682993,False,9.68,0.1939721318858506,0.05721965432167053,0.049733590334653854,8.485075950622559,170,6.003332614898682,0.0,0.231235072016716,0.7413803935050964,0.458133339881897,0.6363805532455444,0.6206325888633728,1.0343876481056213,0.20472228527069092,13.945476531982422,0.2869519591331482
34,1,right_angle,,0.6,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932,6,6,0.6934088612875193,False,10.74,0.1909396793170005,0.043382011353969574,0.03421701490879059,8.485075950622559,170,6.003332614898682,0.0,0.1695917397737503,0.48670241236686707,0.17023295164108276,0.5745735764503479,0.546025276184082,0.9100421269734701,0.2062050849199295,14.50812816619873,0.2990542948246002
35,2,right_angle,,0.6,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932;0.2100;0.2932,6,6,0.6934089320514559,False,11.1,0.18073001066667066,0.04675210639834404,0.03714562579989433,8.485074043273926,170,6.003332614898682,0.0,0.07395602762699127,0.6923101544380188,0.32346010208129883,0.5804012417793274,0.5640127062797546,0.9400211771329244,0.20739984512329102,14.70610523223877,0.3001849055290222
36,0,random_polyline,,0.2,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932,6,6,0.2991074301962991,True,20.0,0.034067479161001626,0.04790009558200836,0.03614554926753044,4.0,79,2.4133517742156982,1.6837232112884521,0.027505474165081978,0.0343591645359993,0.32569998502731323,0.35212621092796326,0.34014588594436646,1.7007294297218323,0.2272258996963501,4.623643398284912,0.16531893610954285
37,1,random_polyline,,0.2,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932,6,6,0.2991012076179727,True,20.0,0.04715110715175428,0.049530044198036194,0.04068049043416977,4.0,79,2.2981505393981934,0.9006752411471769,0.21538880467414856,0.2889995574951172,-0.06583933532238007,0.34882089495658875,0.32956013083457947,1.6478006541728973,0.20726263523101807,6.2868852615356445,0.18756692111492157
38,2,random_polyline,,0.2,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932,6,6,0.29909649425678453,True,20.0,0.05754128782666576,0.04581146687269211,0.03415551781654358,4.0,79,2.5406649112701416,0.79945969581604,0.25365108251571655,0.23849448561668396,0.2411842942237854,0.38131195306777954,0.3454996943473816,1.727498471736908,0.22425442934036255,5.931421279907227,0.18622544407844543
39,0,random_polyline,,0.4,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932,6,6,0.29910141608374424,True,20.0,0.056694314787627445,0.04372032731771469,0.029142184183001518,6.788423538208008,133,0.09094088524580002,0.12877917289733887,0.33682575821876526,0.28257906436920166,0.3049412965774536,0.40529850125312805,0.3351750373840332,0.837937593460083,0.25183403491973877,5.204737663269043,0.19018447399139404
40,1,random_polyline,,0.4,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932,6,6,0.2991074301962991,True,20.0,0.031065057462349017,0.04167347773909569,0.028857219964265823,6.788425445556641,133,0.0058092051185667515,0.2780904769897461,0.00947707798331976,0.012563329190015793,0.2793627977371216,0.3540201485157013,0.3408098518848419,0.8520246297121048,0.24995437264442444,5.111695766448975,0.1792462319135666
41,2,random_polyline,,0.4,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932,6,6,0.2991074301962991,False,11.1,0.24966834923308773,0.06075868755578995,0.050890520215034485,6.788425445556641,133,6.111359119415283,0.8854036331176759,0.2532128691673279,0.48204106092453003,0.4529450535774231,0.5847405791282654,0.5658930540084839,1.4147326350212097,0.21192681789398193,14.773541450500488,0.28567013144493103
42,0,random_polyline,,0.6,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932,5,5,0.2991056754170987,False,10.040000000000001,0.2630230576399552,0.05694941431283951,0.04599291458725929,6.788424491882324,133,6.111359119415283,0.8854036331176759,0.23722246289253235,0.6771668791770935,0.5413909554481506,0.6278813481330872,0.6302086114883423,1.0503476858139038,0.1969698667526245,15.182106971740723,0.3338991105556488
43,1,random_polyline,,0.6,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932,5,5,0.2991021775790558,False,10.06,0.2683169354410335,0.05249805003404617,0.04219954088330269,6.788422107696533,133,6.111359119415283,0.8854036331176759,0.3016059398651123,0.7503430247306824,0.5469163656234741,0.6514297723770142,0.6432811617851257,1.0721352696418762,0.19692492485046387,13.295967102050781,0.2845951318740845
44,2,random_polyline,,0.6,,random,1.0,0.2932;0.2100;0.1705;0.2100;0.2500;0.2100;0.2932,5,5,0.2990974830828236,True,20.0,0.04180525272969108,0.03503502532839775,0.023096095770597458,6.78842306137085,133,0.011802763678133488,2.8483838478671473,0.1924883872270584,0.10201628506183624,0.25875043869018555,0.37290042638778687,0.3384173512458801,0.5640289187431335,0.24821579456329346,5.317264556884766,0.19387297332286835
